Square_ID,Forecaster,Type,MAE,RMSE,MAPE (%),MAE_skill_vs_persistence (%),n
5059,Persistence,benchmark,81.41685808341609,114.35199752663401,7.924892788899034,0. 0,1007
5059,SeasonalNaive_24h,benchmark,160.54831837962962,224.37675524789262,18.246307393016792,-97.19296735221465,864
5059,DriftDamped,benchmark,98.25453881709741,138.97371945086897,9.606436111685325,-20.68082843043413,1006
5059,LightGBM,model,77.24283390318801,111.34550757466887,7.537290438921243,5.126732077958051,1007
5059,LSTM,model,103.19892733117204,134.29456089765483,14.884199772507337,-26.753758079732105,1007
5059,TCN,model,97.02802871614517,136.3852402020545,11.424512121836925,-19.174371254580436,1007
5161,Persistence,benchmark,93.14391936246277,135.07468952622133,9.294817798947637,0.0,1007
5161,SeasonalNaive_24h,benchmark,252.85151645601852,421.63577646730556,22.014249044392905,-171.46325620254964,864
5161,DriftDamped,benchmark,101.71928172266402,149.00991063843404,10.571888223680306,-9.20657238700775,1006
5161,LightGBM,model,89.35502709648036,132.56629248670725,9.195061372016522,4.067782730119196,1007
5161,LSTM,model,121.56424893998457,169.38771581089966,16.335684153622484,-30.51227581150644,1007
5161,TCN,model,179.90467498743268,251.49454838326434,22.7447745407271,-93.14698825088814,1007
5259,Persistence,benchmark,76.09590127110228,109.65446807660501,8.153375784422362,0.0,1007
5259,SeasonalNaive_24h,benchmark,319.89003819444446,642.024141481878,56.17738274267927,-320.3774879474671,864
5259,DriftDamped,benchmark,87.60083482107355,125.42508078598924,9.732989216931363,-15.118992426390143,1006
5259,LightGBM,model,66.59007204753398,97.48190742408156,7.2687181766621745,12.491907007845871,1007
5259,LSTM,model,87.86994120320718,119.98084697266161,11.420323808175938,-15.472633526158308,1007
5259,TCN,model,127.31734518441223,162.13878630970194,21.134347945934046,-67.31169886644277,1007
